"Date Time";"B7514X [rad]";"B7514Y [rad]"
"2024.12.18 01:10:10";"0.000048";"0.000213"
"2024.12.18 01:10:42";"0.000048";"0.000205"
"2024.12.18 01:11:23";"0.000048";"0.000198"
"2024.12.18 01:11:51";"0.000048";"0.000194"
"2024.12.18 01:12:22";"0.000053";"0.000197"
"2024.12.18 01:12:52";"0.000051";"0.000195"
"2024.12.18 01:13:33";"0.000051";"0.000196"
"2024.12.18 01:14:04";"0.000050";"0.000197"
"2024.12.18 01:14:34";"0.000045";"0.000200"
"2024.12.18 01:15:13";"0.000040";"0.000208"
"2024.12.18 01:15:49";"0.000039";"0.000201"
"2024.12.18 01:16:27";"0.000045";"0.000201"
"2024.12.18 01:16:51";"0.000048";"0.000198"
"2024.12.18 01:17:37";"0.000050";"0.000196"
"2024.12.18 01:18:06";"0.000048";"0.000193"
"2024.12.18 01:18:38";"0.000052";"0.000196"
"2024.12.18 01:19:08";"0.000052";"0.000196"
"2024.12.18 01:19:40";"0.000051";"0.000197"
"2024.12.18 01:20:11";"0.000037";"0.000208"
"2024.12.18 01:20:39";"0.000041";"0.000207"
"2024.12.18 01:21:09";"0.000043";"0.000204"
"2024.12.18 01:21:43";"0.000046";"0.000203"
"2024.12.18 01:22:10";"0.000046";"0.000200"
"2024.12.18 01:22:33";"0.000051";"0.000201"
"2024.12.18 01:23:04";"0.000052";"0.000199"
"2024.12.18 01:23:30";"0.000052";"0.000198"
"2024.12.18 01:23:59";"0.000054";"0.000199"
"2024.12.18 01:24:37";"0.000035";"0.000209"
"2024.12.18 01:25:00";"0.000038";"0.000210"
"2024.12.18 01:25:29";"0.000042";"0.000209"
"2024.12.18 01:26:01";"0.000044";"0.000208"
"2024.12.18 01:26:31";"0.000047";"0.000207"
"2024.12.18 01:26:59";"0.000047";"0.000204"
"2024.12.18 01:27:30";"0.000049";"0.000202"
"2024.12.18 01:28:12";"0.000050";"0.000200"
"2024.12.18 01:28:48";"0.000055";"0.000200"
"2024.12.18 01:29:26";"0.000036";"0.000212"
"2024.12.18 01:29:55";"0.000038";"0.000214"
"2024.12.18 01:30:24";"0.000041";"0.000215"
"2024.12.18 01:30:54";"0.000042";"0.000213"
"2024.12.18 01:31:37";"0.000045";"0.000212"
"2024.12.18 01:32:06";"0.000046";"0.000211"
"2024.12.18 01:32:35";"0.000046";"0.000207"
"2024.12.18 01:33:12";"0.000049";"0.000205"
"2024.12.18 01:33:41";"0.000057";"0.000205"
"2024.12.18 01:34:51";"0.000039";"0.000211"
"2024.12.18 01:35:27";"0.000040";"0.000216"
"2024.12.18 01:35:56";"0.000042";"0.000219"
"2024.12.18 01:36:23";"0.000043";"0.000219"
"2024.12.18 01:36:51";"0.000044";"0.000218"
"2024.12.18 01:37:14";"0.000045";"0.000216"
"2024.12.18 01:37:43";"0.000047";"0.000213"
"2024.12.18 01:38:25";"0.000049";"0.000209"
"2024.12.18 01:39:02";"0.000051";"0.000205"
